bp_process_roles.role_id -> roles.id  [bp_process_roles_role_id_roles_fk]
bp_process_type_vars.data_type_id -> data_types.id  [bp_process_type_vars_data_type_id_data_types_fk]
bp_process_type_vars.entity_link_id -> entities.id  [bp_process_type_vars_entity_link_id_entities_fk]
bp_process_type_vars.type_id -> bp_process_types.id  [bp_process_type_vars_type_id_bp_process_types_fk]
bp_process_types.created_by -> users.id  [bp_process_types_created_by_users_fk]
bp_process_var_uicmp.created_by -> users.id  [bp_process_var_uicmp_created_by_users_fk]
bp_process_var_uicmp.ui_comp_param_id -> ui_comp_params.id  [bp_process_var_uicmp_ui_comp_param_id_ui_comp_params_fk]
bp_process_var_uicmp.var_id -> bp_process_vars.id  [bp_process_var_uicmp_var_id_bp_process_vars_fk]
bp_process_vars.data_type_id -> data_types.id  [bp_process_vars_data_type_id_data_types_fk]
bp_process_vars.entity_link_id -> entities.id  [bp_process_vars_entity_link_id_entities_fk]
bp_process_vars.process_id -> bp_processes.id  [bp_process_vars_process_id_bp_processes_fk]
bp_process_vars.rule_id -> entity_attr_update_rules.id  [bp_process_vars_rule_id_entity_attr_update_rules_fk]
bp_process_vars.ui_comp_id -> ui_components.id  [bp_process_vars_ui_comp_id_ui_components_fk]
bp_process_vars.ui_width_id -> ui_widths.id  [bp_process_vars_ui_width_id_ui_widths_fk]
bp_processes.action_entity_id -> entities.id  [bp_processes_action_entity_id_entities_fk]
bp_processes.created_by -> users.id  [bp_processes_created_by_users_fk]
bp_processes.entity_event_type_id -> entity_event_types.id  [bp_processes_entity_event_type_id_entity_event_types_fk]
bp_processes.module_id -> modules.id  [bp_processes_module_id_modules_fk]
bp_processes.type_id -> bp_process_types.id  [bp_processes_type_id_bp_process_types_fk]
bp_processes.wf_id_var_id -> bp_process_vars.id  [bp_processes_wf_id_var_id_bp_process_vars_fk]
bp_processes.wf_status_attr_id -> entity_attrs.id  [bp_processes_wf_status_attr_id_entity_attrs_fk]
bp_processes_file_example.bp_processes_id -> bp_processes.id  [bp_processes_file_example_bp_processes_id_bp_processes_fk]
bp_processes_file_example.file_id -> files.id  [bp_processes_file_example_file_id_files_fk]
bp_script_types.created_by -> users.id  [bp_script_types_created_by_users_fk]
bp_scripts.type_id -> bp_script_types.id  [bp_scripts_type_id_bp_script_types_fk]
bp_sequence_flows.process_id -> bp_processes.id  [bp_sequence_flows_process_id_bp_processes_fk]
bp_task_actors.task_id -> bp_tasks.id  [bp_task_actors_task_id_bp_tasks_fk]
bp_task_actors.user_id -> users.id  [bp_task_actors_user_id_users_fk]
bp_task_auto_closes.parent_id -> bp_tasks.id  [bp_task_auto_closes_parent_id_bp_tasks_fk]
bp_task_auto_closes.task_id -> bp_tasks.id  [bp_task_auto_closes_task_id_bp_tasks_fk]
bp_task_start_events.created_by -> users.id  [bp_task_start_events_created_by_users_fk]
bp_tasks.closed_by -> users.id  [bp_tasks_closed_by_users_fk]
bp_tasks.created_by -> users.id  [bp_tasks_created_by_users_fk]
bp_tasks.instance_id -> bp_instances.id  [bp_tasks_instance_id_bp_instances_fk]
bp_tasks.point_id -> bp_points.id  [bp_tasks_point_id_bp_points_fk]
bp_tasks.user_id -> users.id  [bp_tasks_user_id_users_fk]
bp_ut_tpls.created_by -> users.id  [bp_ut_tpls_created_by_users_fk]
bp_ut_tpls.detail_id -> details.id  [bp_ut_tpls_detail_id_details_fk]
brm_rule_cols.attr_id -> entity_attrs.id  [brm_rule_cols_attr_id_entity_attrs_fk]
brm_rule_cols.created_by -> users.id  [brm_rule_cols_created_by_users_fk]
brm_rule_cols.data_type_entity_id -> entities.id  [brm_rule_cols_data_type_entity_id_entities_fk]
brm_rule_cols.data_type_id -> data_types.id  [brm_rule_cols_data_type_id_data_types_fk]
brm_rule_cols.param_id -> brm_rule_params.id  [brm_rule_cols_param_id_brm_rule_params_fk]
brm_rule_cols.rule_id -> brm_rules.id  [brm_rule_cols_rule_id_brm_rules_fk]
brm_rule_params.created_by -> users.id  [brm_rule_params_created_by_users_fk]
brm_rule_params.data_type_id -> data_types.id  [brm_rule_params_data_type_id_data_types_fk]
brm_rule_params.entity_link_id -> entities.id  [brm_rule_params_entity_link_id_entities_fk]
brm_rule_params.rule_id -> brm_rules.id  [brm_rule_params_rule_id_brm_rules_fk]
brm_rule_rows.created_by -> users.id  [brm_rule_rows_created_by_users_fk]
brm_rule_rows.rule_id -> brm_rules.id  [brm_rule_rows_rule_id_brm_rules_fk]
brm_rule_values.col_id -> brm_rule_cols.id  [brm_rule_values_col_id_brm_rule_cols_fk]
brm_rule_values.row_id -> brm_rule_rows.id  [brm_rule_values_row_id_brm_rule_rows_fk]
brm_rules.data_type_id -> data_types.id  [brm_rules_data_type_id_data_types_fk]
brm_rules.module_id -> modules.id  [brm_rules_module_id_modules_fk]
c_c2d_api.created_by -> users.id  [c_c2d_api_created_by_users_fk]
c_c2d_ch.api_id -> c_c2d_api.id  [c_c2d_ch_api_id_c_c2d_api_fk]
c_c2d_ch.created_by -> users.id  [c_c2d_ch_created_by_users_fk]
c_c2d_cli.api_id -> c_c2d_api.id  [c_c2d_cli_api_id_c_c2d_api_fk]
c_c2d_cli.created_by -> users.id  [c_c2d_cli_created_by_users_fk]
c_c2d_dialog.api_id -> c_c2d_api.id  [c_c2d_dialog_api_id_c_c2d_api_fk]
c_c2d_dialog.created_by -> users.id  [c_c2d_dialog_created_by_users_fk]
c_c2d_dialog.last_user_id -> users.id  [c_c2d_dialog_last_user_id_users_fk]
c_c2d_dialog.user_id -> users.id  [c_c2d_dialog_user_id_users_fk]
c_c2d_msg.api_id -> c_c2d_api.id  [c_c2d_msg_api_id_c_c2d_api_fk]
c_c2d_webhook_log.api_id -> c_c2d_api.id  [c_c2d_webhook_log_api_id_c_c2d_api_fk]
c_gapi.created_by -> users.id  [c_gapi_created_by_users_fk]
cities.created_by -> users.id  [cities_created_by_users_fk]
cities.region_id -> regions.id  [cities_region_id_regions_fk]
cms_css.created_by -> users.id  [cms_css_created_by_users_fk]
cms_js.created_by -> users.id  [cms_js_created_by_users_fk]
cms_mp.created_by -> users.id  [cms_mp_created_by_users_fk]
cms_p.created_by -> users.id  [cms_p_created_by_users_fk]
cms_p.mp_id -> cms_mp.id  [cms_p_mp_id_cms_mp_fk]
cms_p_editor.cms_p_id -> cms_p.id  [cms_p_editor_cms_p_id_cms_p_fk]
cms_p_editor.created_by -> users.id  [cms_p_editor_created_by_users_fk]
cms_p_editor.user_id -> users.id  [cms_p_editor_user_id_users_fk]
companies.angular_index_widget_id -> angular_widget.id  [companies_angular_index_widget_id_angular_widget_fk]
companies.cat_id -> companies_cat.id  [companies_cat_id_companies_cat_fk]
companies.companies_id -> companies.id  [companies_companies_id_companies_fk]
companies.company_id -> companies.id  [companies_company_id_companies_fk]
companies.created_by -> users.id  [companies_created_by_users_fk]
companies.holding_id -> holding.id  [companies_holding_id_holding_fk]
companies.inagro_division_id -> inagro_division.id  [companies_inagro_division_id_inagro_division_fk]
companies.parent_id -> companies.id  [companies_parent_id_companies_fk]
companies.superviser -> users.id  [companies_superviser_users_fk]
companies_adr.companies_id -> companies.id  [companies_adr_companies_id_companies_fk]
companies_adr.type_id -> adr_type.id  [companies_adr_type_id_adr_type_fk]
companies_branch.companies_id -> companies.id  [companies_branch_companies_id_companies_fk]
companies_branch.company_id -> companies.id  [companies_branch_company_id_companies_fk]
companies_cat.created_by -> users.id  [companies_cat_created_by_users_fk]
companies_cat_role.companies_cat_id -> companies_cat.id  [companies_cat_role_companies_cat_id_companies_cat_fk]
companies_cat_role.role_id -> roles.id  [companies_cat_role_role_id_roles_fk]
companies_cont.companies_id -> companies.id  [companies_cont_companies_id_companies_fk]
companies_cont.type_id -> cont_types.id  [companies_cont_type_id_cont_types_fk]
companies_founder.companies_id -> companies.id  [companies_founder_companies_id_companies_fk]
companies_registrator.companies_id -> companies.id  [companies_registrator_companies_id_companies_fk]
companies_registrator.user_id -> users.id  [companies_registrator_user_id_users_fk]
companies_template.companies_id -> companies.id  [companies_template_companies_id_companies_fk]
companies_template.created_by -> users.id  [companies_template_created_by_users_fk]
companies_template.entity_id -> entities.id  [companies_template_entity_id_entities_fk]
cont_groups.created_by -> users.id  [cont_groups_created_by_users_fk]
cont_types.created_by -> users.id  [cont_types_created_by_users_fk]
cont_types.di_ch_type_id -> di_ch_types.id  [cont_types_di_ch_type_id_di_ch_types_fk]
cont_types.group_id -> cont_groups.id  [cont_types_group_id_cont_groups_fk]
core_event_types.created_by -> users.id  [core_event_types_created_by_users_fk]
core_holiday.created_by -> users.id  [core_holiday_created_by_users_fk]
countries.created_by -> users.id  [countries_created_by_users_fk]
cron_url_vars.created_by -> users.id  [cron_url_vars_created_by_users_fk]
cron_url_vars.cron_url_id -> cron_urls.id  [cron_url_vars_cron_url_id_cron_urls_fk]
cron_urls.created_by -> users.id  [cron_urls_created_by_users_fk]
cron_urls.process_id -> bp_processes.id  [cron_urls_process_id_bp_processes_fk]
crontab.created_by -> users.id  [crontab_created_by_users_fk]
crontab.interval_id -> crontab_interval.id  [crontab_interval_id_crontab_interval_fk]
crontab.module_id -> modules.id  [crontab_module_id_modules_fk]
crontab_interval.created_by -> users.id  [crontab_interval_created_by_users_fk]
curs.created_by -> users.id  [curs_created_by_users_fk]
cus_pages.created_by -> users.id  [cus_pages_created_by_users_fk]
cus_pages.page_id -> pages.id  [cus_pages_page_id_pages_fk]
custom_params.custom_id -> customs.id  [custom_params_custom_id_customs_fk]
custom_params.param_id -> params.id  [custom_params_param_id_params_fk]
customs.default_logo_id -> files.id  [customs_default_logo_id_files_fk]
dashboard_rows.dashboard_id -> dashboards.id  [dashboard_rows_dashboard_id_dashboards_fk]
dashboard_rows.widget_id -> widgets.id  [dashboard_rows_widget_id_widgets_fk]
dashboards.created_by -> users.id  [dashboards_created_by_users_fk]
dashboards.module_id -> modules.id  [dashboards_module_id_modules_fk]
dashboards_page.dashboards_id -> dashboards.id  [dashboards_page_dashboards_id_dashboards_fk]
dashboards_page.page_id -> pages.id  [dashboards_page_page_id_pages_fk]
dashboards_page.ui_width_id -> ui_widths.id  [dashboards_page_ui_width_id_ui_widths_fk]
dashboards_page_role.dashboards_page_id -> dashboards_page.id  [dashboards_page_role_dashboards_page_id_dashboards_page_fk]
dashboards_page_role.role_id -> roles.id  [dashboards_page_role_role_id_roles_fk]
data_types.created_by -> users.id  [data_types_created_by_users_fk]
data_types.ui_default_component_id -> ui_components.id  [data_types_ui_default_component_id_ui_components_fk]
deps.city_id -> cities.id  [deps_city_id_cities_fk]
deps.company_id -> companies.id  [deps_company_id_companies_fk]
deps.created_by -> users.id  [deps_created_by_users_fk]
deps.manager_id -> users.id  [deps_manager_id_users_fk]
deps.parent_id -> deps.id  [deps_parent_id_deps_fk]
deps_branch.cli_id -> its_cli.id  [deps_branch_cli_id_its_cli_fk]
deps_branch.deps_id -> deps.id  [deps_branch_deps_id_deps_fk]
detail_queries.created_by -> users.id  [detail_queries_created_by_users_fk]
detail_queries.detail_id -> details.id  [detail_queries_detail_id_details_fk]
detail_queries.entity_id -> entities.id  [detail_queries_entity_id_entities_fk]
detail_queries.module_id -> modules.id  [detail_queries_module_id_modules_fk]
detail_query_field.created_by -> users.id  [detail_query_field_created_by_users_fk]
detail_query_field.detail_query_id -> detail_queries.id  [detail_query_field_detail_query_id_detail_queries_fk]
details.created_by -> users.id  [details_created_by_users_fk]
details.entity_id -> entities.id  [details_entity_id_entities_fk]
di_ch_procs.ch_id -> di_chs.id  [di_ch_procs_ch_id_di_chs_fk]
di_ch_procs.created_by -> users.id  [di_ch_procs_created_by_users_fk]
di_ch_procs.proc_id -> di_procs.id  [di_ch_procs_proc_id_di_procs_fk]
di_ch_types.created_by -> users.id  [di_ch_types_created_by_users_fk]
di_chs.ch_type_id -> di_ch_types.id  [di_chs_ch_type_id_di_ch_types_fk]
di_chs.created_by -> users.id  [di_chs_created_by_users_fk]
di_chs.manager_id -> users.id  [di_chs_manager_id_users_fk]
di_chs.provider_id -> di_providers.id  [di_chs_provider_id_di_providers_fk]
di_procs.created_by -> users.id  [di_procs_created_by_users_fk]
di_providers.ch_type_id -> di_ch_types.id  [di_providers_ch_type_id_di_ch_types_fk]
di_providers.created_by -> users.id  [di_providers_created_by_users_fk]
di_template_files.created_by -> users.id  [di_template_files_created_by_users_fk]
di_template_files.file_id -> files.id  [di_template_files_file_id_files_fk]
di_template_files.template_id -> di_templates.id  [di_template_files_template_id_di_templates_fk]
di_templates.ch_id -> di_chs.id  [di_templates_ch_id_di_chs_fk]
di_templates.created_by -> users.id  [di_templates_created_by_users_fk]
di_templates.entity_id -> entities.id  [di_templates_entity_id_entities_fk]
di_templates.test_account_id -> accounts.id  [di_templates_test_account_id_accounts_fk]
dirs.allowed_ftg_id -> file_type_groups.id  [dirs_allowed_ftg_id_file_type_groups_fk]
dirs.created_by -> users.id  [dirs_created_by_users_fk]
